"iso3","year","publicOrderSafetySpendingLcu","publicOrderSafetySpendingPctGdp","publicOrderSafetySpendingPerCapitaPpp","oecdAccidentalPoisoningDeathsPer100k","wbUnintentionalPoisoningDeathsPer100k","spendingCurrency"
"AUS","1998","10174000000","1.723668","420.339204","3.6",,"AUD"
"AUS","1999","10460000000","1.679196","428.713724","5.4",,"AUD"
"AUS","2000","11799000000","1.777378","472.51275","4.2","0.37","AUD"
"AUS","2001","12968000000","1.829664","506.592964","3.1","0.27","AUD"
"AUS","2002","13946000000","1.840607","535.249203","2.8","0.3","AUD"
"AUS","2003","15334000000","1.906161","575.036272","3.3","0.43","AUD"
"AUS","2004","16079000000","1.857832","591.060158","3.6","0.37","AUD"
"AUS","2005","17477000000","1.885471","623.896872",,"0.28","AUD"
"AUS","2006","19948000000","1.992192","695.080344","3.5","0.24","AUD"
"AUS","2007","21512000000","1.971668","723.763095","3.7","0.2","AUD"
"AUS","2008","23068000000","1.951215","733.969089","4.1","0.18","AUD"
"AUS","2009","24784000000","1.958412","791.873962","4.6","0.14","AUD"
"AUS","2010","26171000000","1.999992","790.084203","4.3","0.15","AUD"
"AUS","2011","27525000000","1.934362","815.387937","4.5","0.23","AUD"
"AUS","2012","27768000000","1.844098","793.096101","4.2","0.16","AUD"
"AUS","2013","28497000000","1.845998","851.438326","4.6","0.22","AUD"
"AUS","2014","30297000000","1.886116","888.522608","5.5","0.16","AUD"
"AUS","2015","31702000000","1.943969","903.257341","5.6","0.15","AUD"
"AUS","2016","33457000000","2.010104","953.71831","6.1","0.15","AUD"
"AUS","2017","36516000000","2.069255","1004.930197","6.3","0.13","AUD"
"AUS","2018","39194000000","2.119822","1067.780395","6.4","0.15","AUD"
"AUS","2019","41896000000","2.142815","1133.245596","5.9","0.12","AUD"
"AUS","2020","44592000000","2.241924","1214.767641","6.2","0.15","AUD"
"AUS","2021","47309000000","2.262481","1319.646729","5.3","0.12","AUD"
"AUS","2022","49842000000","2.132824","1409.864292","5.8",,"AUD"
"AUS","2023","52744000000","2.046711","1479.21325","4.7",,"AUD"
"AUT","1995","2646250000","1.504261","355.066084","1.9",,"EUR"
"AUT","1996","2729540000","1.503532","367.264107","1.8",,"EUR"
"AUT","1997","2825670000","1.504787","380.720799","1.3",,"EUR"
"AUT","1998","2912080000","1.491275","395.649335","1.1",,"EUR"
"AUT","1999","3045000000","1.49952","412.369397","1.2",,"EUR"
"AUT","2000","3018600000","1.421141","415.271357","1.5","0.18","EUR"
"AUT","2001","3147760000","1.434887","424.055639","1.1","0.16","EUR"
"AUT","2002","3236330000","1.437807","445.032495","0.7","0.2","EUR"
"AUT","2003","3311480000","1.43639","459.053803","0.3","0.19","EUR"
"AUT","2004","3502210000","1.455968","488.018787","0.4","0.14","EUR"
"AUT","2005","3474740000","1.376926","478.848916","0.3","0.16","EUR"
"AUT","2006","3630910000","1.365344","510.47602","0.5","0.33","EUR"
"AUT","2007","3678940000","1.303626","510.921982","0.5","0.36","EUR"
"AUT","2008","3898640000","1.335854","548.325302","0.2","0.21","EUR"
"AUT","2009","4025720000","1.406247","572.154941","0.3","0.21","EUR"
"AUT","2010","4011950000","1.364374","569.427728","0.3","0.29","EUR"
"AUT","2011","4085130000","1.325622","585.547921","0.2","0.2","EUR"
"AUT","2012","4239700000","1.339179","618.118091","0.2","0.22","EUR"
"AUT","2013","4263060000","1.327263","630.713607","0.2","0.17","EUR"
"AUT","2014","4414590000","1.337295","646.655492","0.3","0.16","EUR"
"AUT","2015","4621020000","1.350845","669.334693","0.3","0.11","EUR"
"AUT","2016","4805850000","1.351227","708.014136","0.3","0.13","EUR"
"AUT","2017","5041650000","1.372644","739.440806","0.3","0.14","EUR"
"AUT","2018","5226480000","1.363782","772.398235","0.3","0.049","EUR"
"AUT","2019","5302560000","1.340023","808.769652","0.4","0.16","EUR"
"AUT","2020","5457660000","1.435026","839.820682","0.3","0.14","EUR"
"AUT","2021","5668680000","1.395431","878.688109","0.8","0.18","EUR"
"AUT","2022","5978700000","1.330427","958.778525","0.8",,"EUR"
"AUT","2023","6447800000","1.349371","992.390531","0.8",,"EUR"
"BEL","1995","3014500000","1.432141","321.46223","2",,"EUR"
"BEL","1996","3159000000","1.47419","335.307785","1.8",,"EUR"
"BEL","1997","3336600000","1.488879","353.362325","1.7",,"EUR"
"BEL","1998","3439100000","1.478396","360.29051","0.8",,"EUR"
"BEL","1999","3672700000","1.515718","385.611419","0.7",,"EUR"
"BEL","2000","3874300000","1.511177","420.01718","1.3","0.5","EUR"
"BEL","2001","4462700000","1.688275","486.113699","1.3","0.58","EUR"
"BEL","2002","4689100000","1.716011","519.64726","1.2","0.54","EUR"
"BEL","2003","4919400000","1.74943","541.109619","1.2","0.41","EUR"
"BEL","2004","4882000000","1.64477","527.307979","1.4","0.57","EUR"
"BEL","2005","5185300000","1.672475","554.891787","1.7","0.48","EUR"
"BEL","2006","5649700000","1.737559","612.514748","1.9","0.37","EUR"
"BEL","2007","5756900000","1.675374","616.507156","2.1","0.39","EUR"
"BEL","2008","6258300000","1.779225","674.029587","2.1","0.47","EUR"
"BEL","2009","6432100000","1.849714","701.146146","2.1","0.37","EUR"
"BEL","2010","6592100000","1.814794","723.013377","2.1","0.57","EUR"
"BEL","2011","6856200000","1.81024","746.630684","1.7","0.45","EUR"
"BEL","2012","7075500000","1.823888","774.852125","1.8","0.38","EUR"
"BEL","2013","7220100000","1.829651","802.560198","1.7","0.36","EUR"
"BEL","2014","7278600000","1.79737","811.470302","1.9","0.36","EUR"
"BEL","2015","7041600000","1.694574","780.722812","2.1","0.41","EUR"
"BEL","2016","7247800000","1.691565","818.96367","1.8","0.3","EUR"
"BEL","2017","7469100000","1.684479","846.552698","1.8","0.39","EUR"
"BEL","2018","7868000000","1.712327","898.401791","1.9","0.43","EUR"
"BEL","2019","7979000000","1.664216","943.818142","1.7","0.47","EUR"
"BEL","2020","8220500000","1.772611","994.791057","1.7","0.35","EUR"
"BEL","2021","8528200000","1.685258","1022.432668","1.9","0.42","EUR"
"BEL","2022","9467200000","1.686629","1165.934984",,,"EUR"
"BEL","2023","10130700000","1.681789","1209.982545",,,"EUR"
"BGR","1995","5512000","0.432084","33.743363","3.9",,"EUR"
"BGR","1996","8012000","0.366323","25.312636","3.9",,"EUR"
"BGR","1997","110475000","0.580459","33.672925","3.4",,"EUR"
"BGR","1998","230240000","0.870142","54.095694","3.1",,"EUR"
"BGR","1999","264087000","1.054537","61.726317","2.9",,"EUR"
"BGR","2000","291983000","1.038166","66.747299","2.9","0.98","EUR"
"BGR","2001","431065000","1.39113","96.248301","2.6","0.95","EUR"
"BGR","2002","434174000","1.274407","97.32327","2.4","0.93","EUR"
"BGR","2003","508193000","1.387069","112.639574","2.4","0.96","EUR"
"BGR","2004","574160000","1.393548","123.409877","2.4","0.92","EUR"
"BGR","2005","620488000","1.319703","130.544558","2.4","1.13","EUR"
"BGR","2006","699933000","1.30564","140.574282","1.8","0.82","EUR"
"BGR","2007","908903000","1.431468","172.548943","2","0.95","EUR"
"BGR","2008","986241000","1.353852","181.817892","2","0.91","EUR"
"BGR","2009","1057520000","1.445065","192.367676","1.6","0.74","EUR"
"BGR","2010","957246000","1.278244","180.482045","1.5","0.81","EUR"
"BGR","2011","968954000","1.194377","178.606687","1.3","0.71","EUR"
"BGR","2012","937259000","1.134108","175.434484","1.1","0.54","EUR"
"BGR","2013","1100090000","1.33744","211.711253","1.3","0.63","EUR"
"BGR","2014","1207733000","1.435254","242.255238","1.1","0.61","EUR"
"BGR","2015","1279380000","1.428336","252.143329","1.1","0.77","EUR"
"BGR","2016","1113430000","1.167736","225.934183","0.9","0.41","EUR"
"BGR","2017","1296856000","1.262971","262.673314","1.1","0.77","EUR"
"BGR","2018","1378024000","1.258172","284.420686","1","0.45","EUR"
"BGR","2019","1633010000","1.364413","343.99064","0.8","0.53","EUR"
"BGR","2020","1672671000","1.382613","356.224008","1.3","0.77","EUR"
"BGR","2021","1923235000","1.378301","406.015991","1.1","0.73","EUR"
"BGR","2022","2185558000","1.29819","451.844002","0.8",,"EUR"
"BGR","2023","2462310000","1.331878","516.823294",,,"EUR"
"CHE","1995","6228880000","1.492919","460.442664","0.7",,"CHF"
"CHE","1996","6306690000","1.500277","472.729337","0.4",,"CHF"
"CHE","1997","6308250000","1.474489","482.684085","0.3",,"CHF"
"CHE","1998","6426590000","1.460738","494.604498","0.3",,"CHF"
"CHE","1999","6412210000","1.433006","497.863877","0.2",,"CHF"
"CHE","2000","6683930000","1.417468","520.254284","0.4","0.21","CHF"
"CHE","2001","7025180000","1.452573","549.347294","0.6","0.21","CHF"
"CHE","2002","7372910000","1.529404","591.955349","0.3","0.12","CHF"
"CHE","2003","7756210000","1.59067","616.104379","0.5","0.084","CHF"
"CHE","2004","7827720000","1.558482","626.060601","0.3","0.069","CHF"
"CHE","2005","7972800000","1.530734","635.634801","0.4","0.11","CHF"
"CHE","2006","8121990000","1.4668","678.625215","2.7","0.18","CHF"
"CHE","2007","8379070000","1.422387","724.387943","2.7","0.12","CHF"
"CHE","2008","8767310000","1.426953","767.826114","2.8","0.19","CHF"
"CHE","2009","9134650000","1.514769","802.81234","2.4","0.094","CHF"
"CHE","2010","9380490000","1.501972","817.467283","2.2","0.18","CHF"
"CHE","2011","9884800000","1.554853","893.940405","1.8","0.1","CHF"
"CHE","2012","10062280000","1.563326","929.255399","1.6","0.11","CHF"
"CHE","2013","10541930000","1.61041","992.921729","1.7","0.1","CHF"
"CHE","2014","10812690000","1.624458","1030.183153","1.7","0.1","CHF"
"CHE","2015","11028470000","1.650953","1077.495093","1.9","0.24","CHF"
"CHE","2016","11091470000","1.636276","1102.044233","1.5","0.098","CHF"
"CHE","2017","11335250000","1.655848","1129.181029","1.8","0.11","CHF"
"CHE","2018","11671620000","1.644999","1162.830112","1.7","0.13","CHF"
"CHE","2019","11937280000","1.665175","1227.770435","1.4","0.097","CHF"
"CHE","2020","12085390000","1.734861","1266.41099","2","0.17","CHF"
"CHE","2021","12219940000","1.640113","1328.514533","1.7","0.12","CHF"
"CHE","2022","12815440000","1.619978","1529.606912","1.7",,"CHF"
"CHE","2023","12998600000","1.617482","1538.898306","1.9",,"CHF"
"COL","2009","9827860000000","1.959404","203.138229","0.3","0.087","COP"
"COL","2010","10895010000000","2.002538","217.097742","0.3","0.11","COP"
"COL","2011","10617770000000","1.715246","200.811817","0.5","0.1","COP"
"COL","2012","12625080000000","1.894216","229.06893","0.5","0.12","COP"
"COL","2013","14575560000000","2.041129","260.853984","0.3","0.1","COP"
"COL","2014","15638160000000","2.049823","273.76127","0.3","0.12","COP"
"COL","2015","16711480000000","2.076755","276.874107","0.3","0.11","COP"
"COL","2016","18771540000000","2.17318","304.828519","0.4","0.11","COP"
"COL","2017","20774150000000","2.256904","325.008083","0.4","0.13","COP"
"COL","2018","22181501400000","2.245566","342.210936","0.5","0.14","COP"
"COL","2019","23883179730000","2.252986","364.568918","0.7","0.15","COP"
"COL","2020","23797003860000","2.383345","369.876245","0.6","0.17","COP"
"COL","2021","27083486720000","2.270897","394.752029","0.7","0.19","COP"
"COL","2022","30014139980000","2.040281","425.480185",,,"COP"
"COL","2023","35374127780000","2.232423","474.309007",,,"COP"
"CRI","2012","545042051000","2.294637","331.890303","1.3","0.13","CRC"
"CRI","2013","622856949000","2.44613","372.596395","1.2","0.11","CRC"
"CRI","2014","707421310000","2.526385","414.170727","1.4","0.13","CRC"
"CRI","2015","760537171000","2.520679","441.752505","1.2","0.11","CRC"
"CRI","2016","831236934000","2.593054","497.911667","1.6","0.19","CRC"
"CRI","2017","858671482000","2.500234","512.531532","0.8","0.074","CRC"
"CRI","2018","904322730000","2.510981","539.811568","2","0.17","CRC"
"CRI","2019","904682831000","2.391307","558.121698","2.8","0.081","CRC"
"CRI","2020","942765227000","2.583255","570.895915","2.9","0.16","CRC"
"CRI","2021","958780433000","2.377537","567.112113","3.3","0.13","CRC"
"CRI","2022","969699656000","2.164024","567.542802","2.4",,"CRC"
"CZE","1995","29623000000","1.842695","257.18993","3.4",,"CZK"
"CZE","1996","33298000000","1.809127","267.403972","3.1",,"CZK"
"CZE","1997","37815000000","1.907514","284.431938","3.3",,"CZK"
"CZE","1998","36173000000","1.667816","251.235845","3",,"CZK"
"CZE","1999","42891000000","1.891742","293.106166","2.8",,"CZK"
"CZE","2000","44596000000","1.858399","303.519128","2.9","1.22","CZK"
"CZE","2001","48263000000","1.862305","329.803933","3.2","1.34","CZK"
"CZE","2002","54002000000","1.996771","366.288379","2.9","1.23","CZK"
"CZE","2003","59071000000","2.084959","408.737304","2.8","1.09","CZK"
"CZE","2004","61596000000","1.994833","418.67799","2.8","0.99","CZK"
"CZE","2005","67149000000","2.041938","451.571326","3","1.1","CZK"
"CZE","2006","71887000000","2.036314","486.967816","2.8","0.88","CZK"
"CZE","2007","74008000000","1.918982","504.070542","2.9","0.87","CZK"
"CZE","2008","76070000000","1.884057","526.36481","2.9","0.91","CZK"
"CZE","2009","78440000000","1.988085","550.962885","3.1","0.87","CZK"
"CZE","2010","77474000000","1.921025","540.84242","3","1.05","CZK"
"CZE","2011","71451000000","1.744684","510.096501","3.1","1.01","CZK"
"CZE","2012","69561000000","1.689035","497.684558","3.8","1.06","CZK"
"CZE","2013","71489000000","1.714771","531.802135","3.9","1.07","CZK"
"CZE","2014","72936000000","1.66597","545.496592","3.6","0.85","CZK"
"CZE","2015","84328000000","1.812799","618.037928","3.9","0.85","CZK"
"CZE","2016","82780000000","1.709261","622.940829","4.1","0.81","CZK"
"CZE","2017","89310000000","1.72435","678.463139","4.1","0.87","CZK"
"CZE","2018","100539000000","1.83607","764.505996","3.5","0.46","CZK"
"CZE","2019","109519000000","1.859763","848.312561","3.1","0.37","CZK"
"CZE","2020","121753000000","2.08899","936.692452","3.4","0.4","CZK"
"CZE","2021","119425000000","1.893304","904.924387","3.8","0.57","CZK"
"CZE","2022","120716000000","1.712315","906.618724","3.3",,"CZK"
"CZE","2023","135008000000","1.762586","982.842226","3.4",,"CZK"
"DEU","1995","29620000000","1.559005","368.40144","0.3",,"EUR"
"DEU","1996","30463000000","1.579572","381.76794","0.3",,"EUR"
"DEU","1997","31163000000","1.584146","390.483376","0.3",,"EUR"
"DEU","1998","32118000000","1.588184","404.127005","0.3",,"EUR"
"DEU","1999","33298000000","1.602992","425.08048","0.3",,"EUR"
"DEU","2000","33081000000","1.553347","426.761256","0.7","0.1","EUR"
"DEU","2001","34568000000","1.574472","451.466684","1.2","0.13","EUR"
"DEU","2002","35563000000","1.599516","472.076085","1","0.1","EUR"
"DEU","2003","35587000000","1.588131","481.225978","0.9","0.12","EUR"
"DEU","2004","35680000000","1.556013","494.083478","0.8","0.11","EUR"
"DEU","2005","36121000000","1.553117","501.870176","0.8","0.13","EUR"
"DEU","2006","36505000000","1.504629","522.728094","0.9","0.13","EUR"
"DEU","2007","36806000000","1.44779","534.437134","0.9","0.15","EUR"
"DEU","2008","37692000000","1.455694","559.62038","1","0.15","EUR"
"DEU","2009","39344000000","1.577565","592.754164","0.9","0.13","EUR"
"DEU","2010","40006000000","1.529714","607.695718","0.8","0.13","EUR"
"DEU","2011","40873000000","1.487963","645.751237","0.7","0.12","EUR"
"DEU","2012","42067000000","1.502779","664.670174","0.7","0.16","EUR"
"DEU","2013","43935000000","1.532716","703.348349","0.8","0.16","EUR"
"DEU","2014","45334000000","1.518997","728.188729","0.8","0.15","EUR"
"DEU","2015","46306000000","1.500018","728.18966","0.8","0.16","EUR"
"DEU","2016","48303000000","1.511732","779.598512","1.1","0.17","EUR"
"DEU","2017","50540000000","1.516302","820.474638","1.3","0.29","EUR"
"DEU","2018","53246000000","1.55054","872.53586","1.3","0.31","EUR"
"DEU","2019","56209000000","1.589046","941.839021","1.4","0.33","EUR"
"DEU","2020","58108000000","1.683938","988.23396","1.4","0.39","EUR"
"DEU","2021","61108000000","1.659488","1037.690709",,"0.4","EUR"
"DEU","2022","63533000000","1.592549","1099.639138",,,"EUR"
"DEU","2023","67331000000","1.595782","1143.921045",,,"EUR"
"DNK","1995","9771870000","0.943599","213.97553","4",,"DKK"
"DNK","1996","10062850000","0.92562","219.582798","3",,"DKK"
"DNK","1997","10324600000","0.902364","224.571923","3",,"DKK"
"DNK","1998","10826440000","0.913456","235.66089","2.5",,"DKK"
"DNK","1999","11450690000","0.922713","245.831313","3",,"DKK"
"DNK","2000","11977570000","0.903298","258.775171","3.4","0.29","DKK"
"DNK","2001","12628960000","0.920293","271.108902","3.5","0.31","DKK"
"DNK","2002","13114390000","0.929124","284.930651","2.3","0.2","DKK"
"DNK","2003","13511280000","0.939005","289.815558","1.9","0.26","DKK"
"DNK","2004","14187200000","0.939752","310.264437","1.8","0.27","DKK"
"DNK","2005","15046850000","0.946296","323.995874","3.4","0.27","DKK"
"DNK","2006","15563960000","0.923545","345.334983","3.5","0.28","DKK"
"DNK","2007","16105440000","0.92393","361.350047","2.7","0.29","DKK"
"DNK","2008","17575910000","0.971195","402.728989","3.2","0.1","DKK"
"DNK","2009","18604530000","1.075699","435.919709","4","0.32","DKK"
"DNK","2010","18990120000","1.047502","450.819716","3.6","0.22","DKK"
"DNK","2011","19590970000","1.059813","471.020212","4.1","0.32","DKK"
"DNK","2012","19300430000","1.019602","456.324446","3.2","0.18","DKK"
"DNK","2013","19468800000","1.005851","471.434215","3.6","0.18","DKK"
"DNK","2014","19943020000","1.00709","482.190795","3.5","0.2","DKK"
"DNK","2015","19934760000","0.981908","480.125754","3.1","0.22","DKK"
"DNK","2016","20595850000","0.980045","507.868794","4.3","0.12","DKK"
"DNK","2017","20421680000","0.932672","515.502526","3.8","0.046","DKK"
"DNK","2018","21110250000","0.940934","538.53058","4","0.12","DKK"
"DNK","2019","22415740000","0.973059","589.624667","4.2","0.21","DKK"
"DNK","2020","23178100000","0.996225","624.456808","3.8","0.087","DKK"
"DNK","2021","24002820000","0.940085","655.381984","3.8","0.0005","DKK"
"DNK","2022","25017790000","0.883624","697.300326","4.1",,"DKK"
"DNK","2023","27311650000","0.979639","763.06332",,,"DKK"
"ESP","1995","9053000000","1.966936","320.13565","2.5",,"EUR"
"ESP","1996","9003000000","1.841308","312.492991","2.5",,"EUR"
"ESP","1997","9511000000","1.832665","328.109329","2.4",,"EUR"
"ESP","1998","10041000000","1.807369","344.897331","2.4",,"EUR"
"ESP","1999","10692000000","1.796244","358.138381","2.1",,"EUR"
"ESP","2000","10996000000","1.698043","366.475149","2","0.44","EUR"
"ESP","2001","12837000000","1.831351","420.338306","1.9","0.48","EUR"
"ESP","2002","13467000000","1.796213","437.877988","1.6","0.33","EUR"
"ESP","2003","14396000000","1.793485","449.399785","1.5","0.38","EUR"
"ESP","2004","15376000000","1.787784","467.680562","1.6","0.38","EUR"
"ESP","2005","16340000000","1.760544","486.433275","1.9","0.61","EUR"
"ESP","2006","17977000000","1.788799","550.033128","1.5","0.53","EUR"
"ESP","2007","20064000000","1.862017","605.829459","1.5","0.42","EUR"
"ESP","2008","21730000000","1.953378","651.450383","1.8","0.63","EUR"
"ESP","2009","21954000000","2.046058","659.204927","1.5","0.52","EUR"
"ESP","2010","23166000000","2.150685","684.018487","1.4","0.49","EUR"
"ESP","2011","23017000000","2.153758","689.538121","1.5","0.43","EUR"
"ESP","2012","21024000000","2.029414","646.769906","1.6","0.44","EUR"
"ESP","2013","20870000000","2.034803","663.6244","1.7","0.51","EUR"
"ESP","2014","20688000000","1.991243","672.262689","1.8","0.43","EUR"
"ESP","2015","21772000000","2.002738","705.53706","1.6","0.34","EUR"
"ESP","2016","21215000000","1.889192","710.576385","1.8","0.39","EUR"
"ESP","2017","21262000000","1.817228","723.715464","1.7","0.37","EUR"
"ESP","2018","21542000000","1.776988","728.834443","1.6","0.35","EUR"
"ESP","2019","22685000000","1.80943","796.922698","1.9","0.39","EUR"
"ESP","2020","23458000000","2.077374","816.986556","2.2","0.36","EUR"
"ESP","2021","24540000000","1.986282","878.962956","2.2","0.34","EUR"
"ESP","2022","25798000000","1.875041","963.751204","2.5",,"EUR"
"ESP","2023","27443000000","1.832268","1020.248037","2.3",,"EUR"
"EST","1995","87200000","3.047206","197.449109","30.1",,"EUR"
"EST","1996","104500000","2.839697","195.707827","24.3",,"EUR"
"EST","1997","123300000","2.696259","215.155762","21.7",,"EUR"
"EST","1998","140100000","2.746827","232.136582","24.9",,"EUR"
"EST","1999","161600000","2.988778","251.418003","23.9",,"EUR"
"EST","2000","169900000","2.752913","259.448456","26.3","3.55","EUR"
"EST","2001","176700000","2.53075","260.892498","30.6","2.62","EUR"
"EST","2002","208400000","2.663308","310.719198","22.1","1.72","EUR"
"EST","2003","221900000","2.536953","333.229844","17.8","1.99","EUR"
"EST","2004","214000000","2.188224","318.124647","23.3","1.46","EUR"
"EST","2005","240200000","2.11715","352.253031","19","2.05","EUR"
"EST","2006","271200000","1.998355","386.567044","16.9","1.34","EUR"
"EST","2007","347500000","2.118623","470.345933","17.3","1.45","EUR"
"EST","2008","442000000","2.659619","606.486727","14.9","0.61","EUR"
"EST","2009","331900000","2.348481","481.179003","18.9","0.86","EUR"
"EST","2010","321500000","2.180878","471.381763","16.1","0.89","EUR"
"EST","2011","343400000","2.051146","505.65602","20.2","1.24","EUR"
"EST","2012","364000000","2.012544","528.142489","25.9","1.19","EUR"
"EST","2013","353700000","1.845722","513.68575","17.6","0.59","EUR"
"EST","2014","384800000","1.889463","555.571104","17.6","0.74","EUR"
"EST","2015","366800000","1.745762","518.711737","15.4","0.45","EUR"
"EST","2016","415900000","1.874356","598.814952","16.8","0.87","EUR"
"EST","2017","453000000","1.862962","642.845672","17.2","0.56","EUR"
"EST","2018","481400000","1.820831","675.910605","12.9","0.87","EUR"
"EST","2019","499800000","1.755405","712.455291","10.3","0.66","EUR"
"EST","2020","540400000","1.939748","788.936905","11.4","1.36","EUR"
"EST","2021","573700000","1.823973","807.136185","14.4","1.42","EUR"
"EST","2022","645200000","1.777365","857.001937","17.3",,"EUR"
"EST","2023","712400000","1.857462","903.417002",,,"EUR"
"FIN","1995","1372000000","1.393544","272.685699","11.9",,"EUR"
"FIN","1996","1456000000","1.427773","286.517667","12.2",,"EUR"
"FIN","1997","1465000000","1.322632","288.163245","10.2",,"EUR"
"FIN","1998","1572000000","1.305312","307.661111","10.8",,"EUR"
"FIN","1999","1661000000","1.309028","324.13922","10.3",,"EUR"
"FIN","2000","1758000000","1.288989","345.227981","10.5","0.55","EUR"
"FIN","2001","1853000000","1.281351","356.190674","11","0.59","EUR"
"FIN","2002","1852000000","1.247642","356.779","9.8","0.7","EUR"
"FIN","2003","1969000000","1.297837","376.926812","10.9","0.66","EUR"
"FIN","2004","1987000000","1.251725","390.477016","12.9","0.96","EUR"
"FIN","2005","2105000000","1.278345","409.680341","14.7","0.82","EUR"
"FIN","2006","2121000000","1.226997","422.582536","15.7","1","EUR"
"FIN","2007","2208000000","1.180376","446.688796","16.4","1.19","EUR"
"FIN","2008","2415000000","1.243224","498.299379","15.9","1.14","EUR"
"FIN","2009","2534000000","1.394338","529.687358","15.3","1.14","EUR"
"FIN","2010","2730000000","1.450993","565.107087","12.8","1.12","EUR"
